"tsearch","eentry"
"โต้กลับ","respond"
"ถึงเกณฑ์","be qualified"
"แฝงตัว","hide"
"แฝงตัว","disguise"
"ใฝ่","aim"
"เพ้อฝัน","fancy"
"มอบ","fasten"
"มีกรรมสิทธิ์","have a  proprietary right"
"มีข้อแม้","have a condition"
"มีคดี","have a case (cases)"
"ไม่ดี","be bad"
"ไม่ได้ความ","be contrary/against to all expectations"
"ไม่เป็นระเบียบ","be not in order"
"ไม่มีหัว","have no tricks of"
"ไม่มีเหตุผล","have no reason"
"ไม่รู้","not know"
"ไม่รู้สึกตัว","be senseless"
"ไม่เห็นค่า","depreciate"
"ย่อ","round"
"ยากลำบาก","be troubled by"
"ยึด","fix"
"ยึดถือ","hold"
"ยืด","stretch"
"ยืดอายุ","extend"
"ยืนยาว","live long"
"ยืนหยัด","be steadfast"
"ยืม","borrow"
"ยุติปัญหา","cease the problem"
"ยุบ","go down"
"เย้าหยอก","play with"
"แยกเรือน","have one's own family"
"ร่วน","loosely"
"ร่วมทุน","jointly own business"
"ร่วมหุ้น","enter into partnership with"
"รักสวยรักงาม","be conscious of one's appearance"
"รับได้","accept"
"รับได้","receive"
"รับทราบ","acknowledge"
"รับลม","gain fresh air"
"รัว","shoot continuously"
"ร้ายกาจ","be fierce"
"ฝากผี","depend on"
"พ้น","pass"
"ฝืน","disobey"
"พร้อม","be ready"
"ฝังเข็ม","perform acupuncture"
"แผลง","shoot"
"เผอเรอ","be careless"
"พยาบาล","nurse"
"พร้อมพร้อ","look shabby"
"เป็นหลัก","be a principle"
"เป็นใหญ่เป็นโต","be the boss"
"เปราะบาง","fragile"
"เปรียว","be nimble"
"เปรี้ยว","be avant-garde"
"เปรี้ยวจี๊ด","be avant-garde"
"เปล่าเปลี่ยว","be lonesome"
"เปลืองใจ","discourage"
"เปิด","flee (in panic)"
"เปียก","make a paste"
"แปร่ง","in a strange voice"
"แปร่งหู","speak with a strange accent"
"แปลกตา","look strange"
"แปลกหู","sound strange"
"แปลงไฟ","transform"
"โปน","protrude"
"โปร่งใส","reveal"
"ผจง","do something meticulously"
"ผลิดอกออกผล","profit"
"ผลุนผลัน","do abruptly"
"ผ่องแผ้ว","be content"
"ผอมเกร็ง","be thin but strong"
"ผอมแห้ง","be emaciated"
"บ้า","be wild about"
"บางตา","be few"
"บางเบา","reduce"
"บิ่น","nick"
"บีบรัด","press"
"บึ้งบูด","be sullen"
"บุ","line"
"บุก","trespass"
"บุ๋ม","sink in"
"เบาตัว","be relaxed"
"เบาเนื้อเบาตัว","feel relaxed"
"เบาหวิว","feel dizzy"
"กระหายน้ำ","be thirsty"
"กราบกราน","prostrate oneself"
"กลั้นวาจา","hold one's tongues"
"ก่อการร้าย","terrorize"
"แก้คดี","defend"
"แก้ลำ","get back at someone"
"ขจุยขจาย","be scattered"
"ขดตัว","curl oneself up"
"ขโมย","steal"
"ขะมักเขม้น","be energetic"
"ขัดขา","cross someone's leg"
"ขัดขา","oppose"
"ขัดแข้งขัดขา","oppose"
"ขัดคำสั่ง","disobey an order"
"ขันต่อ","gamble"
"ขึ้ง","be angry"
"เข้าขากัน","get along well with"
"เข้าคอกัน","be congenial friends"
"เข้าชุด","match"
"คณนา","count"
"ครองชีวิต","live"
"คล่องคอ","swallow easily"
"คล้อยห่าง","recede into the distance"
"คลุมถุงชน","hold an arranged marriage"
"คว้าน้ำเหลว","fail"
"คาบเกี่ยวกัน","overlap"
"คิดมิดีมิร้าย","have evil thoughts"
"คุ้มค่าเหนื่อย","be worth one's work"
"คุ้มภัย","insure against dangers"
"เค้นคอ","press"
"จบบริบูรณ์","end"
"จับจุด","make someone out"
"จำใจต้อง","be forced"
"จำนนต่อเหตุผล","yield to superior logic"
"จำแนกแยกแยะ","sort out"
"เจอดี","suffer"
"เจ้าเสน่ห์","be charming"
"เจียมกะลาหัว","be modest"
"เฉดหัว","expel"
"เฉลิม","glorify"
"ช่วยไม่ได้","can't help"
"ชักกะเย่อ","drag"
"ชันเข่า","sit with one's knees up"
"ชันสูตรศพ","perform an autopsy"
"ช่างประจบ","flatter"
"ชินหูชินตา","be familiar"
"ชี้โพรงให้กระรอก","point out the way for the villain"
"ด้วน","be amputated"
"เดินทางไกล","take a trip"
"เดินหนังสือ","deliver a message or a letters"
"เดินหมาย","deliver a warrant"
"ตรึงตา","please the eye"
"ตรึงตาตรึงใจ","impress deeply"
"ตัดสวาท","terminate sexual relations"
"ติดราชการ","be occupied with government duty"
"เต็มกลืน","be unbearable"
"เติบใหญ่","grow up"
"โต้คลื่น","counter waves"
"ถนอมน้ำใจ","keep the goodwill of"
"ถอดความหมาย","translate"
"ถอนหมั้น","break off one's engagement"
"ถังแตก","be broke"
"ถ่างตาคอย","sit up for"
"ถ่ายเทอากาศ","ventilate"
"ถึงอนิจกรรม","die"
"ถึงอสัญกรรม","die"
"ถือโชคถือลาง","be superstitious"
"ถือเนื้อถือตัว","be arrogant"
"ถือยศถือศักดิ์","stand on one's dignity"
"ถืออำนาจ","arbitrarily assume"
"ถูกโรค","get along well with"
"ถูกโรค","be treated with a right remedy"
"เถลิงราชสมบัติ","ascend the throne"
"เถียงคำไม่ตกฟาก","argue incessantly"
"เถียงไม่ขึ้น","can't argue"
"แถม","add"
"แถลงการณ์","state"
"ทดท้อ","be discouraged"
"ทบต้น","compound (interest)"
"ทแยง","be askew"
"ท้องร้อง","(stomach) rumble with hunger"
"ทอดตลาด","sell by auction"
"ทำการ","work"
"ทำเกินขอบเขต","overstep"
"ทำเกินไป","overdo"
"ทำไก๋","feign innocence"
"ทำเป็นทองไม่รู้ร้อน","feign indifference"
"ทำผิดกฎหมาย","break the law"
"ทำมิดีมิร้าย","commit dark deeds"
"ทำเล่นๆ","be flippant"
"ทูนหัว","give"
"เทศนา","give a sermon"
"เทศนา","scold"
"เทิดทูน","admire"
"แท้ง","miscarry"
"แทงใจดำ","hit the nail on the head"
"แทงหวย","buy a lottery ticket"
"นิ่งดูดาย","sit by"
"นิสัยเสีย","be spoilt"
"โน้มเอียง","tend"
"บ้าหอบฟาง","carry a lot of things"
"บิดผัน","distort"
"เบาบาง","lessen"
"เบิก","bring"
"เบิก","open"
"เบิก","announce"
"เบิก","widen"
"เบี่ยงประเด็น","change the issue"
"เบียดเบียน","exploit"
"ใบ้","signal"
"ประจ๋อประแจ๋","flatter"
"ประจัน","confront"
"ปรากฏ","appear"
"ปรากฏ","appear"
"ปรากฏ","be apparent"
"ปลอดคน","be free from people"
"ปวดปัสสาวะ","be impelled to urinate"
"ปวดหัว","have a headache"
"ปวดหัว","worry"
"ปะติดปะต่อ","patch"
"เป็นหนี้บุญคุณ","be indebted to"
"เป็นหูเป็นตา","look after things (for someone)"
"แป้ว","be flat"
"โปรยยิ้ม","direct a smile to"
"ไปให้พ้น","Go away!"
"ไปให้พ้น","get away"
"ผายปอด","restore respiration"
"ผิดประเวณี","commit adultery"
"ผิดสำแดง","take poisonous food"
"ผุดลุกผุดนั่ง","rise up and sit down many times"
"เผชิญ","confront"
"เผ็ด","be hot"
"เผด็จศึก","dispose of a war"
"เพิ่มมากขึ้น","increase"
"แพ้ชนะ","win or lose"
"แพ้ภัย","be overwhelmed by"
"ฟังความข้างเดียว","listen to one-sided only"
"ภาวนา","pray"
"ภูมิใจ","be proud of"
"มหัศจรรย์ใจ","be amazed"
"มองข้าม","overlook"
"มองตาม","follow someone with one's eyes"
"ม่องเท่ง","die"
"มองเหลียวหลัง","look back"
"มาดหมาย","intend"
"มีกะใจ","be kindhearted"
"มีความผิด","be guilty"
"มีความยินดี","be glad"
"มีเงิน","have money"
"มีชัย","win"
"มีธุระ","be busy"
"มีผล","affect"
"มีสตางค์","have money"
"มีเหย้ามีเรือน","be married"
"มีอายุ","get old"
"มีอิทธิพล","influence"
"มุง","crowd around"
"มุง","roof"
"เมารถ","be carsick"
"แม้น","resemble"
"ไม่ได้เรื่อง","ineffectually"
"ไม่มีค่า","be worthless"
"ไม่รู้เดียงสา","be innocent"
"ไม่ไว้หน้าใคร","have no respect"
"ไม่สมฐานะ","be infra dig"
"ยกโขยง","come in crowds"
"ยกโทษให้","forgive"
"ยกย่องชมเชย","praise"
"ย่นย่อ","be discouraged"
"ย่นย่อ","shorten"
"ยอ","praise"
"ยอกย้อน","retort"
"ยอกย้อน","be complicated"
"ย้อนหลัง","retrospect"
"ย่อย","digest"
"ย่อย","divide"
"ย้อย","droop"
"ย้อย","drop"
"ย่อหน้า","indent"
"ยัก","lift"
"ยัก","sting"
"ยัก","swing"
"ยัก","embezzle"
"ยักย้าย","shift"
"ยั้ง","stop"
"ยัดห่า","eat"
"ยับ","be crumpled"
"ยำ","mix"
"ยำ","criticize"
"ยำเกรง","respect"
"ย่ำเท้า","drag the feet"
"ย่ำเท้า","tramp"
"ย่ำยี","ravage"
"ยิง","shoot"
"ยิงกราด","rake"
"ยิ้ม","smile"
"ยี","crush"
"ยึดครอง","occupy"
"ยืดเยื้อ","be prolonged"
"ยืน","stand"
"เย็บปักถักร้อย","do needlework"
"เย็บปาก","shut up"
"เยิน","be damaged"
"เยื้องย่าง","sail"
"แย้งกันอยู่ในตัว","be self-contradictory"
"ไยดี","care for"
"รกหูรกตา","offend the eye"
"ร่น","move back"
"รบกวนประสาท","be nerve-racking"
"ร่มเย็น","be peaceful"
"รวน","be askew"
"รวน","be provocative"
"รวน","fry"
"ร่วมโต๊ะ","eat with"
"รวมทั้งหมด","total"
"ร่วมแรงร่วมใจ","be united in action and spirit"
"ร่วมหัว","conspire"
"ร้องทุกข์","complain"
"ร้องเรียน","complain"
"ร้องแรกแหกกระเชอ","make an outcry"
"รอด","survive"
"รอเดี๋ยว","Wait a minute"
"ร้อนจี๋","have a high fever"
"ร้อนระอุ","be extremely hot"
"ร้อนอกร้อนใจ","be anxious"
"ระดม","mobilize"
"ระทดระทวย","be in sorrow"
"ระทึก","beat fast from fear"
"ระเหย","evaporate"
"ระเหเร่ร่อน","wander"
"รับจ้าง","work as employee"
"รับใช้","compensate"
"รับใช้","serve"
"รับบาป","be a scapegoat"
"รับผิดชอบ","be responsible"
"รับฝาก","accept taking care of"
"รับมือ","cope with"
"รับรู้","acknowledge"
"รับสมอ้าง","be referred"
"รับหน้า","confront"
"รับหน้า","welcome"
"รับเหมา","contract for"
"รา","cease"
"ร้าง","be deserted"
"ร่าย","recite or utter magic formula"
"ร่ำเรียน","study"
"รำวง","perform Thai folk dance"
"ริบ","confiscate"
"รู้ใจ","know one's mind"
"รูด","draw"
"รู้ดี","know well"
"รู้เบาะแส","know the whereabouts (of a criminal)"
"รู้หนังสือ","be literate"
"รู้เห็น","witness"
"เร่","go straight in"
"เร่","wander about"
"เรอ","belch"
"เริงใจ","be in high spirits"
"เรียงความ","compose"
"เรียงแถว","line up"
"เรียนถาม","ask"
"เรียนหนังสือ","study"
"เรียบ","be smooth"
"แรม","leave"
"แรม","stay the night"
"ไร้","lack"
"ไร้ความสามารถ","be incompetent"
"ลน","be in a hurry"
"ลน","singe"
"ลบล้าง","wipe out"
"ลบเลือน","fade away"
"ล้มลุก","rise and fall again"
"ล้มลุกคลุกคลาน","struggle along"
"ล้มหมอนนอนเสื่อ","become ill"
"ล่วง","go beyond"
"ล้วง","delve"
"ล้วง","pick"
"ล่วงประเวณี","commit adultery"
"ล่วงรู้","perceive"
"ล้อ","tease"
"ล่อง","float"
"ล่อง","float"
"ล่อง","travel through forests"
"ลองเสื้อ","try on a coat"
"ล่องหนหายตัว","become invisible"
"ลอด","pass through"
"ลอบฆ่า","assassinate"
"ลอบสังหาร","assassinate"
"ลอบหนี","flee"
"ล่อหลอก","lure"
"ละเมอ","daydream"
"ละเมอ","talk in one's sleep"
"ละไม","be sweet"
"ละลาย","disappear"
"ละลาย","dissolve"
"ละลาย","melt"
"ละออ","beautiful"
"ลักลั่น","overlap"
"ลั่นดาล","bolt"
"ลาก่อน","good-bye"
"ลาป่วย","take or request sick leave"
"ลาม","spread"
"ลาม","take liberties with"
"ลายตา","be dazzling"
"ลาออก","resign"
"ลำเค็ญ","suffer severe hardships"
"ลิขิต","be destined"
"ลิขิต","write"
"ลี้","flee"
"ลืมเลือน","fade from one's mind"
"ลือชา","be well-known"
"ลือนาม","be well-known"
"ลุกลาม","spread"
"ลุกลี้ลุกลน","hurry"
"โล่งใจ","be relieved"
"โล่งอก","be relieved"
"วอกแวก","wander"
"ว่าความ","conduct a case"
"วางโครงการ","lay a plan"
"วางเงิน","pay down"
"วางเดิมพัน","bet"
"วางตน","behave"
"วางเพลิง","commit arson"
"วางเพลิง","defame"
"วางมัดจำ","deposit"
"วางยาพิษ","poison"
"วางรากฐาน","lay the foundation"
"วางวาย","die"
"วางหูโทรศัพท์","hang up"
"วาด","draw"
"วาด","describe"
"วาด","paddle"
"ว่าด้วย","deal with"
"วาน","ask"
"วาย","be finished"
"ว่าราชการ","administer (the official, public or civil affairs)"
"วิกฤต","be critical"
"วิ่ง","run"
"วิ่งแข่ง","race"
"วิ่งรอก","run a kite in"
"วิ่งราว","snatch and run away"
"วิ่งเหยาะๆ","trot"
"วิตกกังวล","worry"
"วิบัติ","be destroyed"
"วิปโยค","be separated"
"วิวาห์","marry"
"วิสาสะ","speak"
"วู่วาม","act hastily"
"วู่วาม","spread"
"แว่ว","hear vaguely"
"แวะ","stop"
"ไว้ชีวิต","spare one's life"
"ไว้หน้า","save someone's face"
"ศูนย์","disappear"
"ส่งตัว","deliver"
"สงบอารมณ์","calm down"
"ส่งผู้ร้ายข้ามแดน","extradite a criminal or prisoner"
"สงวน","preserve"
"ส่งเสีย","support"
"สนอง","reply"
"สบ","meet (one's wish)"
"สบ","meet"
"สมนาคุณ","remunerate"
"สมพรปาก","May the blessing be as was said"
"สมยอม","mutually consent"
"สมัคร","apply for"
"สมาน","heal up"
"สมาน","unite"
"สโมสร","meet"
"สยดสยอง","be horrified"
"สรรหา","search for"
"สลบไสล","be unconscious"
"สลบเหมือด","become unconscious"
"สลอน","be abundant"
"สละสลวย","be beautiful"
"สลักสำคัญ","be important"
"สลักหลัง","endorse"
"สลักหักพัง","be ruined"
"สวน","give an enema"
"สวน","pass in the opposite directions"
"สวมกอด","embrace"
"สวมรอย","take one's place wrongfully"
"สอดรู้สอดเห็น","snoop"
"สะเด็ด","drain"
"สะบักสะบอม","be badly bruised"
"สังกัด","belong to"
"สังคายนาย","revise"
"สังเคราะห์","synthesize"
"สั่งน้ำมูก","blow the nose"
"สั่งเสีย","admonish"
"สั่งเสีย","give parting instructions"
"สับไก","pull the trigger"
"สับตัว","change roles"
"ส่าง","abate"
"สาด","splash"
"สาธุ","salute"
"สาธุ","Amen!"
"สาบาน","swear"
"ส่าย","swing"
"สำแดง","show"
"สำเนา","copy"
"สุขกาย","be healthy"
"สุขสบาย","be happy"
"สุด","end"
"สุดปัญญา","be at the end of one's wit"
"สุดสิ้น","end"
"สุดหนทาง","be at the end of one's wit"
"สู่ขอ","ask for the hand of the girl in marriage"
"สูงส่ง","be lofty"
"สูญ","lose"
"สูญพันธุ์","become extinct"
"เสกสรร","invent"
"เสด็จ","proceed"
"เสพ","eat"
"เสพเมถุน","have a sexual intercourse"
"เสร็จสิ้น","end"
"เสวนา","associate"
"เสวยทุกข์","undergo suffering"
"เสวยราชย์","occupy the throne"
"เสวยราชสมบัติ","occupy the throne"
"เสียดาย","deplore"
"เสียดาย","regret"
"เสื่อมค่า","devalue"
"เสื่อมคุณภาพ","deteriorate"
"แสบ","sting"
"แสบ","sting"
"ไสหัวไป","get out"
"หงาย","turn face up"
"หงิก","be crinkled"
"หด","shrink"
"หดตัว","shrink"
"หดหัว","hide"
"หนักหนา","be critical"
"หนาว","be cold"
"ห่ม","cover"
"หมดกะจิตกะใจ","lose all enthusiasm"
"หมดค่า","be worthless"
"หมดเนื้อประดาตัว","be stone-broke"
"หมดเวลา","(time) be up"
"หมอบ","crouch"
"หยัก","notch"
"หย่า","divorce"
"หย่า","stop"
"หยิบยืม"," borrow"
"หลงรัก","fall in love"
"หลบลี้หนีหาย","flee"
"หลอน","haunt"
"หลอม","melt"
"หละหลวม","be careless"
"หลับตา","close one's eyes"
"หวงห้าม","forbid"
"หวังดี","wish someone well"
"หวิว","feel dizzy"
"หวี","comb"
"หอบหิ้ว","carry"
"หอบหิ้ว","live together"
"หอม","kiss"
"หันเห","divert"
"หากิน","make a living"
"หารือ","consult"
"หิ้ว","hold"
"หิ้ว","take a woman out for sexual gratification"
"หุง","cook"
"หุง","cook"
"หุบ","close"
"เห็นจริง","be convinced"
"เหน็ดเหนื่อย","be tired"
"เห็นอกเห็นใจ","sympathize with"
"เหม็นคาว","has a strong smell"
"เหยียบย่าง","set foot on"
"เหลว","be liquid"
"เหลว","fail"
"เหลียวแล","care for"
"เหลือเชื่อ","be unbelievable"
"แหก","part"
"แหกตา","deceive"
"แหนง","suspect"
"แหลก","be crushed"
"โหน","swing"
"โหม","mobilize"
"โหยหวน","moan"
"โหรงเหรง","be bare"
"ให้การ","give testimony"
"ใหลหลง","be infatuated with"
"อกหัก","be broken-hearted"
"อดมื้อกินมื้อ","go hungry"
"อดอาหาร","starve"
"อนาจาร","be lewd"
"อนุบาล","take care of"
"อนุโมทนา","say amen"
"อนุรักษ์","conserve"
"อบ","be stuffy"
"อบ","perfume"
"อบ","bake"
"อภิปราย","debate"
"อม","embezzle"
"อม","hide"
"อม","keep in the mouth"
"อยากรู้อยากเห็น","be curious"
"อยู่กิน","live together as husband and wife"
"อยู่ดีกินดี","live well"
"อยู่ตัว","be stable"
"อยู่ตัว","be stable"
"อวดโต","brag"
"อวตาร","be reincarnated"
"ออกบวช","become a monk"
"ออกแบบ","design"
"ออกปาก","ask a favor of"
"ออกปาก","say"
"ออกอากาศ","broadcast"
"ออม","save"
"ออม","save"
"อ้อม","encircle"
"อ้อม","go by an indirect or roundabout route"
"อักเสบ","inflame"
"อับจน","be at the end of one's rope"
"อับจน","be impoverished"
"อับปัญญา","be at the end of one's wit"
"อัศจรรย์","wonder"
"อาทร","care"
"อ่าน","read"
"อาบน้ำศพ","bath a dead body before putting it in a coffin"
"อาบเอิบ","be imbued"
"อำ","hide"
"อำนวย","give"
"อำนวยการ","direct"
"อำลา","bid farewell"
"อิจฉา","envy"
"ฮา","laugh"
"รำ","dance"
"รำคาญตา","offend the eyes"
"รำลึก","recall"
"รำลึกถึง","recall"
"ริษยา","envy"
"รี่","go straight in"
"รื่น","be happy"
"รื้อ","dismantle"
"รื้อ","revive"
"รื้อฟื้น","resurrect"
"รุ่งโรจน์","prosper"
"รุน","push"
"รู้","know"
"รู้ความ","know"
"รู้จัก","know"
"รู้จักคิด","think"
"รู้จักมักคุ้น","be acquainted with"
"รู้แจ้ง","understand thoroughly"
"รู้แจ้งเห็นจริง","have a thorough knowledge"
"รู้ชั้นเชิง","know tactic"
"รู้ซึ้ง","realize"
"รู้ตัว","be aware of"
"รู้ทันเหตุการณ์","penetrate"
"รูปหล่อ","be handsome"
"รู้เรื่อง","understand"
"รู้สึก","feel"
"รู้สึกตัว","realize one's error"
"รู้สึกตัว","be conscious of"
"เร่งฝีเท้า","speed"
"เร่งเร้า","urge"
"เร้น","hide"
"เร้า","stimulate"
"เร้า","urge"
"เริงรื่น","be happy"
"เริ่มกิจการ","start"
"เริ่มต้น","begin"
"เรียก","call"
"เรียกขวัญ","comfort"
"เรียกร้อง","call for"
"เรียง","arrange"
"เรียนรู้","study"
"เรียบร้อย","be polite"
"แร่","rush (into)"
"โรย","wither"
"โรย","scatter"
"โรยแรง","lose strength"
"ไร้ความรู้สึก","be paralyzed"
"ไร้ญาติขาดมิตร","have no kith and kin"
"ไร้เดียงสา","be innocent"
"ไร้ผล","be fruitless"
"ไร้ยางอาย","be thick-skinned"
"ไร้ราคี","be virgin"
"ไร้สีสัน","be colourless"
"ลงคะแนนเสียง","vote for"
"ลงบัญชี","charge it to one's account"
"ลงบันทึก","record"
"ลงลอยกัน","get along well with"
"ลงรายการ","write down"
"ลงหุ้น","take shares of a company"
"ลดน้อยลง","decrease"
"ลบ","obliterate"
"ลบ","subtract"
"ล่ม","sink"
"ล่ม","collapse"
"ล้ม","overthrow"
"ล้ม","die"
"ล้ม","cancel"
"ล้ม","fall"
"ล้ม","slaughter"
"ล้มกลิ้ง","fall and roll"
"ลมโกรก","blow strongly"
"ล่มจม","become bankrupt"
"ลับ","fade"
"ลักทรัพย์","steal"
"ลักพาตัว","kidnap"
"ลัด","cut across"
"ลั่น","shoot"
"ลับ","sharpen"
"ละเลย","neglect"
"ล้า","be exhausted"
"ล้างน้ำ","wash"
"ล้างไพ่","shuffle"
"ล้างหน้า","wash one's face"
"ลาจาก","die"
"ลาด","pave"
"ลาดตะเวน","patrol"
"ล้อมรอบ","surround"
"ล้มเลิก","abolish"
"ล่วงเลย","pass"
"ล่อ","delude"
"ล่อ","gulp"
"ล่องลอย","float"
"ล่อใจ","tempt"
"ละเอียดอ่อน","be delicate"
"ลอบฟัง","monitor"
"ลอย","soar"
"ลอยน้ำ","float on the water"
"ลอยหน้าลอยตา","move the head from side to side while talking"
"ล่อลวง","deceive"
"ล่อแหลม","be dangerous"
"ละทิ้ง","leave"
"ละเมิดสัญญา","break an agreement"
"ละโมบ","be greedy"
"ละลานตา","be dazzled"
"ล่าม","tie"
"ลอบทำร้าย","ambush"
"ลื่นไหล","flow"
"ลี้ภัย","seek asylum"
"ลึก","be deep"
"ลื่นล้ม","slip"
"ลืม","forget"
"ลือเลื่อง","spread"
"ลุ","attain"
"ลุกฮือ","rise up"
"ลุ่มๆ ดอนๆ","has ups and downs"
"ลามก","be indecent"
"ล้ำ","infringe"
"ลำดับ","arrange"
"ลำพองใจ","be in high spirits"
"ล่ำสัน","be sturdy"
"ล้ำหน้า","be offside"
"ลำเอียง","be partial"
"วอน","beg"
"วอน","ask for"
"วัดชีพจร","take the pulse"
"แล่น","run (car)"
"แล่น","connect"
"แล้วไป","be over"
"แลเห็น","catch sight of"
"วอดวาย","be razed to the ground"
"โลมเล้า","caress"
"ไล่ออก","fire"
"วก","turn  back"
"วรรค","leave a space"
"โลภมาก","be greedy"
"แลกหมัด","cross fists with"
"เลียนแบบ","copy"
"เลียบ","skirt"
"เลี้ยว","turn"
"เลือน","become dim"
"เลื่อนขั้น","promote"
"เลื่อนตำแหน่ง","get a promotion"
"เลื่อนเวลา","postpone"
"เลื้อย","crawl"
"เลิกคบ","severe relations with"
"แลก","exchange"
"เล่าเรื่อง","relate"
"แล่น","sail"
"เลื้อย","climb"
"เล่นแง่","hold off"
"เล็กกระจิดริด","be tiny"
"เล่นงาน","tackle"
"เล่นพรรคเล่นพวก","play favoritism"
"เล่นพวกเล่นพ้อง","play favoritism"
"เลวร้าย","be bad"
"เละ","be soft"
"เล่า","tell"
"ว่านอนสอนง่าย","be obedient"
"ว่ายน้ำ","swim"
"วายปราณ","die"
"วายวอด","be ruined"
"ว่าร้าย","gossip"
"วินาศ","be destroyed"
"วิกลจริต","be mad"
"วาดภาพ","imagine"
"วิ่งเล่น","run and play"
"วิงเวียน","be giddy"
"วิจัย","do research"
"ว้าเหว่","feel lonely"
"วางท่า","put on airs"
"ว่ากล่าว","reprove"
"ว่าขาน","reprimand"
"วาง","lay (down)"
"ว่าง","be free"
"วางกับดัก","trap"
"วางก้าม","put on airs"
"ว่างงาน","be free"
"ว่างงาน","be unemployed"
"วางตัว","behave"
"วาดรูป","paint"
"วางธุระ","neglect"
"วางประกัน","put up bail"
"วางแผง","be on the market"
"วางยา","poison"
"วางยา","apply a remedy"
"วางระเบียบ","lay down regulations"
"ว่าง่าย","be obedient"
"ว่าจ้าง","hire"
"วาดภาพ","draw"
"ศึกษา","study"
"เศร้าซึม","be depressed"
"เศร้าสลด","sadden"
"โศกสลด","grieve"
"วิปริต","be abnormal"
"วิพากษ์วิจารณ์","criticize"
"วิวาท","dispute"
"วูบ","move past at great speed"
"แวบ","flash"
"เวทนา","pity"
"แวดล้อม","surround"
"ส่ง","send"
"สถาปนา","establish"
"สถาปนาตัว","create oneself"
"สนด้าย","thread"
"สนเท่ห์","doubt"
"สนองตอบ","respond"
"สนุก","enjoy"
"สบถ","swear"
"สบโอกาส","meet the opportunity"
"สม","be well matched"
"สมคบคิด","conspire with"
"ส่งข่าว","send word"
"สงเคราะห์","aid"
"ส่งจดหมาย","send a letter"
"สงบปากสงบคำ","keep silence"
"ส่งประกาย","twinkle"
"ส่งสัญญาณ","transmit"
"สงสาร","pity"
"ส่งสาร","send a message"
"สด","be fresh"
"สติวิปลาส","be insane"
"ส่งเสียง","cry out"
"สยิว","feel a sense of thrilling"
"สรงน้ำ","bathe"
"สรวลเสเฮฮา","laugh"
"สร้างความสัมพันธ์","build up friendship"
"สร้างถิ่นฐาน","settle down"
"สร้างเนื้อสร้างตัว","earn one's own"
"สลดใจ","be sorrowful"
"สลบ","become unconscious"
"สละ","sacrifice"
"สละ","leave"
"สมดุล","be balanced"
"สมบุกสมบัน","work hard"
"สมประดี","lose consciousness"
"สมปรารถนา","fulfil one's wish"
"สมมติ","suppose"
"สมรส","marry"
"สมหวัง","fulfil one's hope"
"สมัครสมาน","be united"
"สมาคม","associate"
"สมควร","should"
"สลัด","salad"
"สลัด","shake off"
"สลัว","be dim"
"สลาย","disintegrate"
"สวด","pray"
"สวด","reprove"
"สวนสนาม","march"
"สวม","take the place of"
"สวม","wear"
"สวมใส่","wear"
"สว่างจ้า","be brightly lit"
"สวาปาม","devour"
"สวามิภักดิ์","surrender"
"ส่อง","look through"
"ส่อง","shine"
"สองจิตสองใจ","be in two minds"
"ส่องสว่าง","illuminate"
"สอดคล้อง","conform to"
"สอดคล้องต้องกัน","match up"
"สอดรู้","interfere"
"สอดส่อง","be on the lookout for"
"สอน","teach"
"สอบ","take an exam"
"ส่อสันดาน","indicate one's trait"
"ส่อแสดง","indicate"
"สะกด","hypnotize"
"สะกด","hypnotize"
"สะกด","spell"
"สะกด","follow"
"สะกด","suppress"
"สะกิด","poke"
"สะใจ","be satisfied"
"สะดีดสะดิ้ง","behave affectedly"
"สะดุ้ง","be startled"
"สะทกสะเทิ้น","be shy"
"สะท้าน","shiver"
"สะเทือน","shake"
"สะบัด","flick"
"สะบัดร้อนสะบัดหนาว","have a slight fever"
"สะบัดสะบิ้ง","behave affectedly"
"สะสวย","be beautiful"
"สะอาด","be clean"
"สะอาดหมดจด","be spick and span"
"สะอื้น","sob"
"สักการะ","worship"
"สั่งการ","command"
"สังเกต","observe"
"สังเกตการณ์","observe"
"สั่งงาน","assign"
"สั่งจอง","order"
"สั่งย้ำ","repeat"
"สั่งสอน","teach"
"สัญจร","travel"
"สั่นงกๆ","tremble"
"สันนิษฐาน","surmise"
"สั่นระรัว","vibrate"
"สับไพ่","shuffle the cards"
"สัมพันธ์","be related"
"สัมพันธ์กัน","be related"
"สัมฤทธิ์ผล","achieve"
"สาก","be coarse"
"สาง","dawn"
"สาง","comb"
"สาง","clear up"
"สาธิต","demonstrate"
"สาน","weave"
"สานต่อ","continue"
"ส่ายตา","roll one's eyes"
"ส่ายไปส่ายมา","wobble"
"สลัด","pirate"
"สาว","pull"
"สำคัญ","be important"
"สำคัญ","understand"
"สำนึก","be aware of"
"สำนึก","realize"
"สำรวจ","survey"
"สำรวจตลาด","survey the market"
"สำราญ","revel"
"สำส่อน","be promiscuous"
"สำเหนียก","listen carefully to"
"สิง","be possessed"
"สิ้นใจ","die"
"สิ้นบุญ","die"
"สิ้นลมหายใจ","die"
"สิ้นสุด","end"
"สึกกร่อน","be worn away / down"
"สืบค้น","investigate"
"สืบทอด","inherit"
"สืบพันธุ์","reproduce"
"สืบรู้","inquire"
"สืบสกุล","be descended from"
"สืบสาย","be descended from"
"สืบสายโลหิต","be descended from"
"สืบสาว","investigate"
"สื่อ","convey"
